anio,indicador,tamano_empresa,valor,indicador_std
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,5.24,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,13.36,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,10.02,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,34.37,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,11.88,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,24.2,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,11.67,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,27.83,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,21.04,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,29.02,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,13.24,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,37.39,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,19.05,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,30.83,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,13.34,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,36.28,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,13.29,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,42.9,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,19.53,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,37.01,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,20.18,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,26.22,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,9.36,pct_ventas_ecommerce_sobre_total
