anio,indicador,tamano_empresa,valor
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,7.55
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,21.03
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,12.04
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,29.93
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,15.08
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,24.22
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,21.42
2016,M.1 % de empresas que han realizado ventas por comercio electrónico,total,20.41
2016,M.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,16.55
2016,M.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,36.27
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,14.98
2016,M.1 % de empresas que han realizado ventas por comercio electrónico,total,19.5
2016,M.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,20.72
2016,M.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,46.86
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,10.02
2016,M.1 % de empresas que han realizado ventas por comercio electrónico,total,29.27
2016,M.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,22.59
2016,M.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,42.68
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,14.88
2016,M.1 % de empresas que han realizado ventas por comercio electrónico,total,16.76
2016,M.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,28.55
2016,M.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,50.28
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,6.46
2016,M.1 % de empresas que han realizado ventas por comercio electrónico,total,10.91
2016,M.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,7.33
2016,M.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,31.06
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,6.1
2016,M.1 % de empresas que han realizado ventas por comercio electrónico,total,14.83
2016,M.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,25.35
2016,M.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,55.62
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,8.55
2016,M.1 % de empresas que han realizado ventas por comercio electrónico,total,6.14
2016,M.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,9.55
2016,M.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,36.46
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,4.67
2016,M.1 % de empresas que han realizado ventas por comercio electrónico,total,3.25
2016,M.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,0.88
2016,M.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,35.24
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,2.29
