fecha,interes_trends,marca,categoria_producto,termino_busqueda
2017-02-01,29,Mango,pantalones,mango pantalones
2017-02-01,14,Mango,tops,mango tops
2017-02-01,37,Mango,vestidos,mango vestidos
2017-02-01,55,Mango,zapatos,mango zapatos
2017-02-01,26,Massimo Dutti,pantalones,massimo dutti pantalones
2017-02-01,0,Massimo Dutti,tops,massimo dutti tops
2017-02-01,32,Massimo Dutti,vestidos,massimo dutti vestidos
2017-02-01,60,Massimo Dutti,zapatos,massimo dutti zapatos
2017-02-01,0,Shein,pantalones,shein pantalones
2017-02-01,0,Shein,tops,shein tops
2017-02-01,6,Shein,vestidos,shein vestidos
2017-02-01,0,Shein,zapatos,shein zapatos
2017-02-01,34,Zara,pantalones,zara pantalones
2017-02-01,15,Zara,tops,zara tops
2017-02-01,41,Zara,vestidos,zara vestidos
2017-02-01,65,Zara,zapatos,zara zapatos
2017-03-01,35,H&M,pantalones,h&m pantalones
2017-03-01,0,H&M,tops,h&m tops
2017-03-01,48,H&M,vestidos,h&m vestidos
2017-03-01,59,H&M,zapatos,h&m zapatos
2017-03-01,39,Mango,pantalones,mango pantalones
2017-03-01,36,Mango,tops,mango tops
2017-03-01,51,Mango,vestidos,mango vestidos
2017-03-01,74,Mango,zapatos,mango zapatos
2017-03-01,25,Massimo Dutti,pantalones,massimo dutti pantalones
2017-03-01,0,Massimo Dutti,tops,massimo dutti tops
2017-03-01,42,Massimo Dutti,vestidos,massimo dutti vestidos
2017-03-01,67,Massimo Dutti,zapatos,massimo dutti zapatos
