fecha,marca,valor_trends,n_posts,engagement_total
2022-12-01,zara,67.75,0.0,0.0
2023-01-01,hm,39.0,0.0,0.0
2023-01-01,mango,60.4,0.0,0.0
2023-01-01,massimo_dutti,56.0,0.0,0.0
2023-01-01,shein,59.2,0.0,0.0
2023-01-01,zara,66.2,0.0,0.0
2023-02-01,hm,31.0,0.0,0.0
2023-02-01,mango,46.75,0.0,0.0
2023-02-01,massimo_dutti,35.0,0.0,0.0
2023-02-01,shein,57.75,0.0,0.0
2023-02-01,zara,43.5,0.0,0.0
2023-03-01,hm,31.0,0.0,0.0
2023-03-01,mango,54.75,0.0,0.0
2023-03-01,massimo_dutti,31.0,0.0,0.0
2023-03-01,shein,75.25,0.0,0.0
2023-03-01,zara,50.5,0.0,0.0
2023-04-01,hm,37.0,0.0,0.0
2023-04-01,mango,54.6,0.0,0.0
2023-04-01,massimo_dutti,32.0,0.0,0.0
2023-04-01,shein,86.6,0.0,0.0
2023-04-01,zara,53.4,0.0,0.0
2023-05-01,hm,34.0,0.0,0.0
2023-05-01,mango,47.25,0.0,0.0
2023-05-01,massimo_dutti,31.0,0.0,0.0
2023-05-01,shein,91.25,0.0,0.0
2023-05-01,zara,47.75,0.0,0.0
2023-06-01,hm,36.0,0.0,0.0
2023-06-01,mango,52.25,0.0,0.0
2023-06-01,massimo_dutti,39.0,0.0,0.0
2023-06-01,shein,96.25,0.0,0.0
2023-06-01,zara,60.75,0.0,0.0
2023-07-01,hm,32.0,0.0,0.0
2023-07-01,mango,42.2,0.0,0.0
2023-07-01,massimo_dutti,35.0,0.0,0.0
2023-07-01,shein,86.4,0.0,0.0
2023-07-01,zara,52.4,0.0,0.0
2023-08-01,hm,27.0,0.0,0.0
2023-08-01,mango,38.0,0.0,0.0
2023-08-01,massimo_dutti,29.0,0.0,0.0
2023-08-01,shein,74.5,0.0,0.0
2023-08-01,zara,42.0,0.0,0.0
2023-09-01,hm,31.0,0.0,0.0
2023-09-01,mango,43.25,0.0,0.0
2023-09-01,massimo_dutti,30.0,0.0,0.0
2023-09-01,shein,73.0,0.0,0.0
2023-09-01,zara,46.25,0.0,0.0
2023-10-01,hm,31.0,0.0,0.0
2023-10-01,mango,45.2,0.0,0.0
2023-10-01,massimo_dutti,30.0,0.0,0.0
2023-10-01,shein,76.8,0.0,0.0
2023-10-01,zara,51.0,0.0,0.0
