anio,indicador,tamano_empresa,n_filas_conflictivas,valores_distintos,decision,archivo
2018,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,17,"[39.04, 51.89, 37.48, 65.53, 35.36, 61.75, 46.17, 15.84, 30.69, 2.69, 42.83, 49.58, 23.92, 18.15, 27.04, 48.84, 33.15]",conservar_primer_valor_no_nulo,comercio_electronico2018.xlsx
2019,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,17,"[23.31, 19.15, 26.35, 15.21, 11.37, 16.48, 1.34, 8.25, 29.22, 33.18, 22.86, 91.07, 2.65, 19.64, 12.79, 18.81, 24.13]",conservar_primer_valor_no_nulo,comercio_electronico2019.xlsx
2019,K.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,17,"[45.39, 5.28, 62.42, 53.46, 38.86, 58.61, 23.98, 9.74, 44.11, 70.33, 51.63, 97.88, 32.45, 30.94, 20.89, 0.19, 31.65]",conservar_primer_valor_no_nulo,comercio_electronico2019.xlsx
2019,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,17,"[33.76, 32.09, 4.65, 35.81, 19.34, 24.76, 8.12, 5.49, 38.88, 49.64, 34.81, 96.62, 21.16, 33.12, 18.75, 19.52, 15.49]",conservar_primer_valor_no_nulo,comercio_electronico2019.xlsx
2019,K.1 % de empresas que han realizado ventas por comercio electrónico,total,17,"[25.46, 22.39, 30.09, 21.44, 12.92, 19.66, 0.13, 0.08, 31.15, 36.08, 2.53, 92.51, 25.73, 20.85, 13.88, 18.96, 22.59]",conservar_primer_valor_no_nulo,comercio_electronico2019.xlsx
2019,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,17,"[20.52, 0.14, 17.34, 12.12, 8.74, 14.05, 12.01, 7.84, 26.76, 29.46, 20.48, 91.07, 24.02, 19.64, 12.49, 16.72, 19.19]",conservar_primer_valor_no_nulo,comercio_electronico2019.xlsx
2019,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,17,"[29.84, 1.97, 24.14, 18.59, 10.61, 18.55, 20.55, 4.94, 35.99, 52.87, 37.89, 97.88, 0.28, 30.94, 18.51, 16.23, 25.02]",conservar_primer_valor_no_nulo,comercio_electronico2019.xlsx
2019,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,17,"[2.64, 18.73, 26.93, 21.12, 8.02, 1.54, 8.12, 4.16, 33.37, 38.86, 28.63, 96.62, 17.73, 33.12, 16.78, 18.18, 14.11]",conservar_primer_valor_no_nulo,comercio_electronico2019.xlsx
2019,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,17,"[21.64, 14.97, 18.85, 14.35, 8.68, 14.48, 11.77, 7.48, 28.05, 31.16, 22.09, 92.51, 22.98, 20.85, 13.28, 16.97, 18.35]",conservar_primer_valor_no_nulo,comercio_electronico2019.xlsx
2019,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,17,"[6.51, 5.24, 6.94, 0.55, 1.12, 7.28, 2.64, 1.29, 7.98, 7.07, 6.22, 49.38, 9.08, 6.41, 1.98, 13.27, 11.85]",conservar_primer_valor_no_nulo,comercio_electronico2019.xlsx
2019,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,17,"[2.82, 3.48, 32.29, 45.26, 12.12, 37.42, 25.66, 2.76, 23.36, 25.12, 34.79, 50.45, 13.94, 23.52, 11.53, 14.84, 20.19]",conservar_primer_valor_no_nulo,comercio_electronico2019.xlsx
2019,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,17,"[1.27, 1.14, 17.41, 8.45, 0.84, 13.02, 2.02, 0.68, 15.54, 15.04, 11.84, 45.21, 10.07, 7.58, 3.22, 33.38, 10.43]",conservar_primer_valor_no_nulo,comercio_electronico2019.xlsx
2019,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,17,"[19.34, 24.52, 21.17, 33.92, 7.98, 29.27, 1.92, 1.42, 17.37, 17.27, 22.55, 48.35, 12.88, 11.55, 5.52, 19.17, 17.41]",conservar_primer_valor_no_nulo,comercio_electronico2019.xlsx
2019,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,17,"[24.54, 24.18, 24.29, 30.64, 11.99, 30.61, 13.73, 20.59, 24.78, 20.09, 25.56, 53.43, 32.56, 36.68, 20.39, 44.03, 35.29]",conservar_primer_valor_no_nulo,comercio_electronico2019.xlsx
2019,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,17,"[43.97, 57.44, 48.81, 74.03, 32.84, 59.34, 43.08, 26.05, 33.31, 30.27, 46.06, 51.22, 26.11, 62.06, 45.55, 36.65, 33.54]",conservar_primer_valor_no_nulo,comercio_electronico2019.xlsx
2019,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,17,"[31.85, 31.19, 30.06, 21.58, 45.94, 40.17, 29.45, 20.64, 32.34, 27.08, 33.32, 46.19, 29.25, 30.75, 2.78, 56.53, 40.18]",conservar_primer_valor_no_nulo,comercio_electronico2019.xlsx
2019,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,17,"[39.13, 50.36, 39.14, 64.79, 34.74, 55.57, 41.38, 22.73, 31.77, 27.85, 4.19, 50.04, 26.82, 45.61, 35.77, 44.06, 34.28]",conservar_primer_valor_no_nulo,comercio_electronico2019.xlsx
2020,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,17,"[25.16, 20.56, 28.55, 17.14, 15.11, 16.21, 6.16, 31.91, 35.46, 21.87, 90.71, 33.27, 28.26, 13.63, 25.43, 27.67]",conservar_primer_valor_no_nulo,comercio_electronico2020.xlsx
2020,K.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,17,"[44.89, 53.35, 66.82, 5.31, 3.61, 59.19, 2.16, 10.29, 42.67, 71.61, 49.34, 94.69, 34.21, 41.06, 22.46, 17.01, 31.67]",conservar_primer_valor_no_nulo,comercio_electronico2020.xlsx
2020,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,17,"[33.91, 36.83, 54.36, 36.29, 2.34, 30.08, 8.08, 50.71, 26.67, 97.43, 23.81, 43.05, 16.67, 17.27, 23.54]",conservar_primer_valor_no_nulo,comercio_electronico2020.xlsx
2020,K.1 % de empresas que han realizado ventas por comercio electrónico,total,17,"[26.86, 24.19, 33.04, 22.78, 16.59, 20.15, 0.76, 7.09, 3.29, 37.96, 23.29, 9.19, 31.59, 29.34, 14.29, 23.52, 27.05]",conservar_primer_valor_no_nulo,comercio_electronico2020.xlsx
2020,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,17,"[22.64, 15.97, 20.95, 14.96, 10.87, 14.22, 29.65, 31.96, 19.78, 89.89, 3.04, 28.26, 12.99, 24.45, 26.25]",conservar_primer_valor_no_nulo,comercio_electronico2020.xlsx
