term,coef
show,0.008500536788112509
day,0.007219867085959
kendal,0.00549265566673257
guide,0.004919435409060661
outfit,0.004830773597634541
usa,0.00415864279750067
between,0.004073558315262633
siren,0.003586702917198757
model,-0.003100447952481087
fashion,-0.0036472278878356412
them,-0.008593727429629043
loop,-0.010948255446048506
stores massimodutti,-0.01988748352179453
global,-0.022346850391775554
create,-0.025341302858657634
shaping,-0.02701444853889808
proportion,-0.034890712898807616
faux,-0.043046901678169804
satin,-0.048849201766895084
styling,-0.048871979389446873
leather,-0.051088041294721914
shaped,-0.05268906757601237
beauty,-0.052690012015000114
bae,-0.06035039352087031
some,-0.06379429876845884
work,-0.06864739076031298
first,-0.07024296870676527
heritage,-0.07666324353366305
square,-0.07718544963270428
limited,-0.08012494743469774
full,-0.08081904134759656
com coat,-0.0888298680513915
natural,-0.10212768862448307
place,-0.10306446606793618
follow,-0.10967896371422452
saint,-0.11457612513432483
quiet,-0.11683654090464733
broadway,-0.11887214198545143
fabrics,-0.11972170760267217
anewsta,-0.12166667898293562
ease,-0.12233268338548604
way,-0.12835906430475943
skirt,-0.1311516754775251
long,-0.13339992259409533
road london,-0.13373263536229105
schönhauser,-0.13373263536229105
london regent,-0.13373263536229105
london times,-0.13373263536229105
square broadway,-0.13373263536229105
road kings,-0.13373263536229105
schönhauser straße,-0.13373263536229105
usa soho,-0.13373263536229105
usa drottninggatan,-0.13373263536229105
avenue york,-0.13373263536229105
london kings,-0.13373263536229105
hit follow,-0.13379153963040127
limited edition,-0.1373137144971776
vibe,-0.143354192469158
hold,-0.14392458409855305
online stores,-0.14523679245297894
define,-0.15376877644126782
add,-0.15722004004130777
artist hair,-0.15964014566795937
inspiration,-0.16081980803281198
stylist hair,-0.161519939516192
kurfürstendamm berlin,-0.1657030557074204
kurfürstendamm,-0.1657030557074204
oxford,-0.17439226334706492
times,-0.17885921484792516
essence,-0.17930914524763264
red,-0.17953948037869424
shades,-0.18452898304647905
last,-0.18616492833559342
iconic,-0.1869254867730682
selection,-0.18708586199375524
turn,-0.18838206968859783
road,-0.19229021374652885
lafayette,-0.19360331638612638
created,-0.20153513376926982
team,-0.20339354704031098
let,-0.20641958559629972
creative agency,-0.21147318982284513
sparkle,-0.21220754591834304
allure,-0.21429021469304715
coming,-0.2149502138136076
when,-0.21630899366599585
key,-0.22448054216750685
fits,-0.22458588767514548
