fecha,valor_trends,marca,categoria_producto,termino_busqueda,anio,mes_num
2016-11-01,37,mango,vestidos,mango vestidos,2016,11
2016-11-01,74,mango,zapatos,mango zapatos,2016,11
2016-11-01,41,massimo_dutti,pantalones,massimo dutti pantalones,2016,11
2016-11-01,0,massimo_dutti,tops,massimo dutti tops,2016,11
2016-11-01,27,massimo_dutti,vestidos,massimo dutti vestidos,2016,11
2016-11-01,88,massimo_dutti,zapatos,massimo dutti zapatos,2016,11
2016-11-01,0,shein,pantalones,shein pantalones,2016,11
2016-11-01,0,shein,tops,shein tops,2016,11
2016-11-01,4,shein,vestidos,shein vestidos,2016,11
2016-11-01,3,shein,zapatos,shein zapatos,2016,11
2016-11-01,43,zara,pantalones,zara pantalones,2016,11
2016-11-01,28,zara,tops,zara tops,2016,11
2016-11-01,45,zara,vestidos,zara vestidos,2016,11
2016-11-01,79,zara,zapatos,zara zapatos,2016,11
