_fase,fecha,valor_raw,flag,tipo,valor_indice,fuente,indicador,provisional
DESPUES,2016-02-01 00:00:00,,,,100.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2016-03-01 00:00:00,,,,101.0,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2016-04-01 00:00:00,,,,100.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2016-05-01 00:00:00,,,,99.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2016-06-01 00:00:00,,,,102.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2016-07-01 00:00:00,,,,103.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2016-08-01 00:00:00,,,,101.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2016-09-01 00:00:00,,,,100.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2016-10-01 00:00:00,,,,101.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2016-11-01 00:00:00,,,,101.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2016-12-01 00:00:00,,,,101.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2017-01-01 00:00:00,,,,101.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2017-02-01 00:00:00,,,,102.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2017-03-01 00:00:00,,,,101.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2017-04-01 00:00:00,,,,106.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2017-05-01 00:00:00,,,,104.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2017-06-01 00:00:00,,,,102.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2017-07-01 00:00:00,,,,102.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2017-08-01 00:00:00,,,,103.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2017-09-01 00:00:00,,,,106.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2017-10-01 00:00:00,,,,92.0,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2017-11-01 00:00:00,,,,103.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2017-12-01 00:00:00,,,,102.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2018-01-01 00:00:00,,,,101.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2018-02-01 00:00:00,,,,101.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2018-03-01 00:00:00,,,,102.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2018-04-01 00:00:00,,,,100.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2018-05-01 00:00:00,,,,99.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2018-06-01 00:00:00,,,,101.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2018-07-01 00:00:00,,,,100.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2018-08-01 00:00:00,,,,100.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2018-09-01 00:00:00,,,,97.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2018-10-01 00:00:00,,,,103.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2018-11-01 00:00:00,,,,102.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2018-12-01 00:00:00,,,,101.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2019-01-01 00:00:00,,,,103.0,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2019-02-01 00:00:00,,,,104.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2019-03-01 00:00:00,,,,101.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2019-04-01 00:00:00,,,,102.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2019-05-01 00:00:00,,,,102.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2019-06-01 00:00:00,,,,101.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2019-07-01 00:00:00,,,,101.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2019-08-01 00:00:00,,,,102.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2019-09-01 00:00:00,,,,103.0,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2019-10-01 00:00:00,,,,101.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2019-11-01 00:00:00,,,,102.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2019-12-01 00:00:00,,,,103.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2020-01-01 00:00:00,,,,105.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2020-02-01 00:00:00,,,,108.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2020-03-01 00:00:00,,,,38.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2020-04-01 00:00:00,,,,10.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2020-05-01 00:00:00,,,,33.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2020-06-01 00:00:00,,,,70.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2020-07-01 00:00:00,,,,76.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2020-08-01 00:00:00,,,,76.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2020-09-01 00:00:00,,,,78.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2020-10-01 00:00:00,,,,77.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2020-11-01 00:00:00,,,,66.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2020-12-01 00:00:00,,,,79.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2021-01-01 00:00:00,,,,69.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2021-02-01 00:00:00,,,,74.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2021-03-01 00:00:00,,,,82.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2021-04-01 00:00:00,,,,80.0,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2021-05-01 00:00:00,,,,82.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2021-06-01 00:00:00,,,,84.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2021-07-01 00:00:00,,,,83.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2021-08-01 00:00:00,,,,84.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2021-09-01 00:00:00,,,,90.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2021-10-01 00:00:00,,,,93.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2021-11-01 00:00:00,,,,93.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2021-12-01 00:00:00,,,,91.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2022-01-01 00:00:00,,,,90.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2022-02-01 00:00:00,,,,104.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2022-03-01 00:00:00,,,,90.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2022-04-01 00:00:00,,,,113.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2022-05-01 00:00:00,,,,105.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2022-06-01 00:00:00,,,,94.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2022-07-01 00:00:00,,,,94.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2022-08-01 00:00:00,,,,96.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2022-09-01 00:00:00,,,,96.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2022-10-01 00:00:00,,,,97.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2022-11-01 00:00:00,,,,96.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2022-12-01 00:00:00,,,,104.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2023-01-01 00:00:00,,,,116.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2023-02-01 00:00:00,,,,116.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2023-03-01 00:00:00,,,,127.0,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2023-04-01 00:00:00,,,,146.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2023-05-01 00:00:00,,,,122.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2023-06-01 00:00:00,,,,117.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2023-07-01 00:00:00,,,,112.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2023-08-01 00:00:00,,,,111.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2023-09-01 00:00:00,,,,113.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2023-10-01 00:00:00,,,,112.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2023-11-01 00:00:00,,,,117.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2023-12-01 00:00:00,,,,118.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
