order,seasonal_order,aic,bic,mae,rmse,mape
"(2, 0, 0)","(1, 0, 1, 12)",633.5191218467343,645.5527180830555,33.65254852149009,35.739484000771455,27.748406558602984
"(2, 0, 0)","(1, 1, 0, 12)",563.5871750414651,572.5811560096625,26.357324708949196,27.74777858165695,21.73957865760777
"(2, 0, 0)","(1, 1, 1, 12)",550.9882905122204,562.2307667224671,22.815993716867183,25.593345594644664,18.586852678354468
"(2, 0, 1)","(0, 0, 0, 12)",709.3694978137707,719.5426769428508,18.078379453071964,20.091330647652335,14.746241215022838
"(2, 0, 1)","(0, 0, 1, 12)",632.2414909806492,644.2750872169705,19.08810779588394,21.058563067777197,15.596803504478896
"(2, 0, 1)","(0, 1, 0, 12)",669.1267593786341,678.7536363676911,18.199688041142448,19.572136204454793,15.049599203925226
"(2, 0, 1)","(0, 1, 1, 12)",549.3545125057395,560.5969887159863,22.47009943637885,25.278871309256612,18.29659957488645
"(2, 0, 1)","(1, 0, 0, 12)",632.1982534580166,644.2318496943378,19.047505275431032,21.04566320932016,15.558534757431728
"(2, 0, 1)","(1, 0, 1, 12)",634.1949899904479,648.6353054740334,18.93083708666531,20.943517857878984,15.45872543721965
"(2, 0, 1)","(1, 1, 0, 12)",561.7038446145925,572.9463208248393,26.136247598688303,27.470312303520206,21.55844226053385
"(2, 0, 1)","(1, 1, 1, 12)",553.3338503131987,566.8248217654949,26.64853047710658,30.039605178424278,21.695022530646003
"(2, 0, 2)","(0, 0, 0, 12)",693.6828217231719,706.3458191889381,30.11139760612237,31.62653164877181,24.891817995343075
"(2, 0, 2)","(0, 0, 1, 12)",618.0320655503291,632.3987604783638,32.218619905606836,33.76792332990025,26.651350565007682
"(2, 0, 2)","(0, 1, 0, 12)",664.115382054923,676.0876278282851,21.15153945395168,22.40627496185043,17.546697133783248
"(2, 0, 2)","(0, 1, 1, 12)",542.8797779996174,556.284417027201,23.034460631207953,25.96584058579901,18.74968545551693
"(2, 0, 2)","(1, 0, 0, 12)",624.3514216377218,638.7917371213074,31.906231707164668,33.453814037705065,26.393764865539765
"(2, 0, 2)","(1, 0, 1, 12)",628.6942421632691,645.4553862459762,32.83593562699378,35.02182287940822,27.047220675464107
"(2, 0, 2)","(1, 1, 0, 12)",563.4772491093188,576.968220561615,22.996774994684987,24.339189354029976,18.936302396417446
"(2, 0, 2)","(1, 1, 1, 12)",546.8446427794088,562.4833883115896,25.191035339305795,28.679402478054147,20.472003695027286
"(2, 1, 0)","(0, 0, 0, 12)",695.6965346449006,703.2943331243604,15.692852830459834,18.28496320555697,12.686674513599696
"(2, 1, 0)","(0, 0, 1, 12)",625.6425451129926,635.2694221020496,15.89518561194315,18.52657509349919,12.849981622378657
"(2, 1, 0)","(0, 1, 0, 12)",669.1583380005491,676.3416854645664,8.656961711449073,11.433951991565847,6.976390035699278
"(2, 1, 0)","(0, 1, 1, 12)",552.4952133147223,561.4891942829197,19.123273088812127,22.66437750589638,15.43141644900656
"(2, 1, 0)","(1, 0, 0, 12)",619.0458314136024,628.6236280322921,15.971383433383101,18.618327304707353,12.9113962829237
"(2, 1, 0)","(1, 0, 1, 12)",621.0368020300945,633.0090478034566,15.975789443621466,18.62586930934684,12.914687954676248
"(2, 1, 0)","(1, 1, 0, 12)",557.204812927834,566.1412389462231,11.947196906314701,15.605268524725625,9.570202028042623
"(2, 1, 0)","(1, 1, 1, 12)",548.7899049296907,559.960437452677,21.955340036167513,26.27475665710371,17.69157068197046
"(2, 1, 1)","(0, 0, 0, 12)",690.3081461704796,700.4385441430927,18.680115703296607,21.05026943849761,15.189365321232758
"(2, 1, 1)","(0, 0, 1, 12)",614.241949346157,626.2141951195191,19.25175292838242,21.65828148590603,15.659742096000553
"(2, 1, 1)","(0, 1, 0, 12)",666.163500987451,675.7412976061407,9.02684496673604,11.509010799408415,7.284132758960281
"(2, 1, 1)","(0, 1, 1, 12)",542.9028794806235,554.0734120036097,20.88885468422622,24.234921434799993,16.91664365853686
"(2, 1, 1)","(1, 0, 0, 12)",614.3533798771069,626.3256256504691,18.975100655492657,21.365772561898098,15.431816961716615
"(2, 1, 1)","(1, 0, 1, 12)",616.2371741292757,630.6038690573102,19.260903269696414,21.668468577578395,15.667207185086962
"(2, 1, 1)","(1, 1, 0, 12)",556.3999771008729,567.5705096238592,10.924763492962002,14.675190258800205,8.711211497160187
"(2, 1, 1)","(1, 1, 1, 12)",546.1458623037248,559.5505013313084,23.87359389657891,27.864446423284836,19.313928572691108
"(2, 1, 2)","(0, 0, 0, 12)",685.4679277686239,698.0768706538692,18.68060374464834,21.061676938036467,15.188316864588494
"(2, 1, 2)","(0, 0, 1, 12)",609.7495012958395,624.0416611038828,19.19171571320652,21.61894054828303,15.607137809685693
"(2, 1, 2)","(0, 1, 0, 12)",659.4493344414896,671.359467614859,17.95944810742289,19.33881085192274,14.848312395395032
"(2, 1, 2)","(0, 1, 1, 12)",537.5909062903792,550.9079525214358,20.8870386481721,24.203512665499208,16.91898005760988
"(2, 1, 2)","(1, 0, 0, 12)",616.348259576315,630.7149545043496,18.916233594650354,21.315819663326753,15.381745399450155
"(2, 1, 2)","(1, 0, 1, 12)",611.6616671781906,628.3358536209078,19.337299817643242,21.783754729386263,15.725542573446791
"(2, 1, 2)","(1, 1, 0, 12)",557.3170547348138,570.7216937623974,10.656767946545644,14.471085149924573,8.492100734443483
"(2, 1, 2)","(1, 1, 1, 12)",540.7189485601597,556.2555024963924,23.911728199580097,27.91280582485478,19.344747172111898
